id,created_at,updated_at,deleted_at,title,selected_type,file
23,2017-10-22 18:11:00.056204+03,2017-10-22 18:11:00.056204+03,2017-10-23 15:38:13.506162+03,,,"{""FileName"":""HV350824.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/23/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
12,2017-09-23 20:01:24.460526+03,2017-09-23 20:01:24.460526+03,2017-09-25 15:57:00.06333+03,vave,,"{""FileName"":"""",""Url"":"""",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
28,2017-10-22 18:49:16.51629+03,2017-10-22 18:49:16.51629+03,2017-10-23 15:38:37.063943+03,,,"{""FileName"":""related3.jpg"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/28/file.jpg"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
25,2017-10-22 18:24:21.109128+03,2017-10-22 18:24:21.109128+03,2017-10-23 15:38:34.447734+03,,,"{""FileName"":""HF4060-12-12.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/25/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
24,2017-10-22 18:11:40.674508+03,2017-10-22 18:11:40.674508+03,2017-10-23 15:38:09.457437+03,,,"{""FileName"":""HF18TP.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/24/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
34,2017-10-23 13:47:49.463039+03,2017-10-23 13:47:49.463039+03,2017-10-23 15:38:19.936606+03,,,"{""FileName"":""1053_afziioqyif.JPG"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/34/file.JPG"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
16,2017-10-17 02:12:02.146972+03,2017-10-23 15:37:49.699365+03,2017-10-23 19:32:44.463842+03,Alert,,"{""FileName"":""alert.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/16/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
17,2017-10-17 22:07:05.493829+03,2017-10-17 22:07:05.493829+03,2017-10-23 19:32:41.616149+03,Inlet manifold,,"{""FileName"":""inlet block.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/17/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
14,2017-10-06 00:38:11.195208+03,2017-10-06 00:38:11.195208+03,2017-10-20 17:37:01.002104+03,"Boom cable ",,"{""FileName"":""boom-cable.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/14/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
13,2017-09-23 20:01:50.385759+03,2017-09-25 16:00:02.85335+03,2017-10-20 17:37:04.915967+03,Saw pressure valve,,"{""FileName"":""Untitled-19 copy.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/13/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
11,2017-09-23 19:59:45.30204+03,2017-09-25 15:59:40.935984+03,2017-10-20 17:37:08.875623+03,Fitting,,"{""FileName"":""Untitled-3 copy.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/11/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
10,2017-09-22 22:57:45.578974+03,2017-09-25 15:59:04.629619+03,2017-10-20 17:37:17.385686+03,Inlet manifold,,"{""FileName"":""Untitled-26 copy.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/10/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
15,2017-10-17 01:26:20.657017+03,2017-10-17 01:26:20.657017+03,2017-10-20 17:39:09.329491+03,622b diameter measuring background,,"{""FileName"":""background.jpg"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/15/file.jpg"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
19,2017-10-20 17:40:13.15939+03,2017-10-20 17:40:13.15939+03,2017-10-20 17:41:41.809704+03,,,"{""FileName"":""background_lg.jpg"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/19/file.jpg"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
18,2017-10-17 22:31:29.361334+03,2017-10-17 22:31:29.361334+03,2017-10-23 19:32:38.550456+03,Boom cable,,"{""FileName"":""Boom cable.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/18/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
20,2017-10-20 17:42:29.276981+03,2017-10-20 17:42:29.276981+03,2017-10-23 19:32:35.084315+03,622b diameter measuring background,,"{""FileName"":""background.jpg"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/20/file.jpg"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
29,2017-10-22 18:50:01.25961+03,2017-10-22 18:50:01.25961+03,2017-10-23 15:38:39.543964+03,,,"{""FileName"":""product1.jpg"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/29/file.jpg"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
45,2017-10-23 15:05:20.086526+03,2017-10-23 15:05:20.086526+03,2017-10-23 15:38:42.776097+03,,,"{""FileName"":""1046_zzfxhnjkuy.jpg"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/45/file.jpg"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
21,2017-10-20 19:39:46.383406+03,2017-10-20 19:39:46.383406+03,2017-10-23 19:32:31.303247+03,,,"{""FileName"":""lm-622b-bg2.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/21/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
22,2017-10-21 22:10:29.900786+03,2017-10-21 22:11:31.039976+03,2017-10-22 19:01:29.91501+03,Kenny,,"{""FileName"":""kenny.jpg"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/22/file.jpg"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
26,2017-10-22 18:34:47.020902+03,2017-10-22 18:34:47.020902+03,2017-10-23 15:38:30.960385+03,,,"{""FileName"":""Boom cable.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/26/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
33,2017-10-22 18:57:13.459586+03,2017-10-22 18:57:13.459586+03,2017-10-22 19:01:13.753977+03,,,"{""FileName"":""triangle.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/33/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
